name,Age,Overall,Potential,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Position,Height,Weight,Release Clause
L. Messi,31,94,94,565K,2202,Left,5,4,4,RF,5'7,159lbs,226.5M
Cristiano Ronaldo,33,94,94,405K,2228,Right,5,4,5,ST,6'2,183lbs,127.1M
Neymar Jr,26,92,93,290K,2143,Right,5,5,5,LW,5'9,150lbs,228.1M
De Gea,27,91,93,260K,1471,Right,4,3,1,GK,6'4,168lbs,138.6M
K. De Bruyne,27,91,92,355K,2281,Right,4,5,4,RCM,5'11,154lbs,196.4M
E. Hazard,27,91,91,340K,2142,Right,4,4,4,LF,5'8,163lbs,172.1M
L. Modrić,32,91,91,420K,2280,Right,4,4,4,RCM,5'8,146lbs,137.4M
L. Suárez,31,91,91,455K,2346,Right,5,4,3,RS,6'0,190lbs,164M
Sergio Ramos,32,91,91,380K,2201,Right,4,3,3,RCB,6'0,181lbs,104.6M
J. Oblak,25,90,93,94K,1331,Right,3,3,1,GK,6'2,192lbs,144.5M
R. Lewandowski,29,90,90,205K,2152,Right,4,4,4,ST,6'0,176lbs,127.1M
T. Kroos,28,90,90,355K,2190,Right,4,5,3,LCM,6'0,168lbs,156.8M
D. Godín,32,90,90,125K,1946,Right,3,3,2,CB,6'2,172lbs,90.2M
David Silva,32,90,90,285K,2115,Left,4,2,4,LCM,5'8,148lbs,111M
N. Kanté,27,89,90,225K,2189,Right,3,3,2,LDM,5'6,159lbs,121.3M
P. Dybala,24,89,94,205K,2092,Left,3,3,4,LF,5'10,165lbs,153.5M
H. Kane,24,89,91,205K,2165,Right,3,4,3,ST,6'2,196lbs,160.7M
A. Griezmann,27,89,90,145K,2246,Left,4,3,4,CAM,5'9,161lbs,165.8M
M. ter Stegen,26,89,92,240K,1328,Right,3,4,1,GK,6'2,187lbs,123.3M
T. Courtois,26,89,90,240K,1311,Left,4,2,1,GK,6'6,212lbs,113.7M
Sergio Busquets,29,89,89,315K,2065,Right,4,3,3,CDM,6'2,168lbs,105.6M
E. Cavani,31,89,89,200K,2161,Right,4,4,3,LS,6'1,170lbs,111M
M. Neuer,32,89,89,130K,1473,Right,5,4,1,GK,6'4,203lbs,62.7M
S. Agüero,30,89,89,300K,2107,Right,4,4,4,ST,5'8,154lbs,119.3M
G. Chiellini,33,89,89,215K,1841,Left,4,3,2,LCB,6'2,187lbs,44.6M
K. Mbappé,19,88,95,100K,2118,Right,3,4,5,RM,5'10,161lbs,166.1M
M. Salah,26,88,89,255K,2146,Left,3,3,4,RM,5'9,157lbs,137.3M
Casemiro,26,88,90,285K,2170,Right,3,3,2,CDM,6'1,185lbs,126.4M
J. Rodríguez,26,88,89,315K,2171,Left,4,3,4,LAM,5'11,172lbs,
L. Insigne,27,88,88,165K,2017,Right,3,3,4,LW,5'4,130lbs,105.4M
Isco,26,88,91,315K,2137,Right,3,3,4,LW,5'9,174lbs,156.2M
C. Eriksen,26,88,91,205K,2117,Right,3,5,4,CAM,5'11,168lbs,141.5M
Coutinho,26,88,89,340K,2175,Right,3,4,5,LW,5'8,150lbs,147.7M
P. Aubameyang,29,88,88,265K,2069,Right,3,4,4,LM,6'2,176lbs,112.1M
M. Hummels,29,88,88,160K,2038,Right,4,3,3,LCB,6'3,203lbs,75.9M
Marcelo,30,88,88,285K,2279,Left,4,4,5,LB,5'9,176lbs,88.2M
G. Bale,28,88,88,355K,2279,Left,4,3,4,ST,6'1,181lbs,123M
H. Lloris,31,88,88,150K,1335,Left,4,1,1,GK,6'2,181lbs,66.6M
G. Higuaín,30,88,88,245K,1965,Right,4,4,3,LS,6'1,196lbs,
Thiago Silva,33,88,88,165K,2077,Right,4,3,2,RCB,6'0,181lbs,44.4M
S. Handanovič,33,88,88,110K,1262,Right,3,2,1,GK,6'4,203lbs,51M
G. Buffon,40,88,88,77K,1334,Right,4,2,1,GK,6'4,203lbs,7.4M
S. Umtiti,24,87,92,205K,2147,Left,3,3,2,CB,6'0,165lbs,121.1M
M. Icardi,25,87,90,130K,1940,Right,3,4,3,ST,5'11,165lbs,114.5M
K. Koulibaly,27,87,90,115K,1660,Right,3,3,2,LCB,6'2,196lbs,90.5M
P. Pogba,25,87,91,210K,2247,Right,4,4,5,RDM,6'4,185lbs,123.2M
K. Navas,31,87,87,195K,1345,Right,3,3,1,GK,6'1,176lbs,62.5M
R. Lukaku,25,87,89,230K,2031,Left,3,3,3,ST,6'3,207lbs,120.3M
C. Immobile,28,87,87,115K,2009,Right,3,4,3,ST,6'1,187lbs,88.4M
Jordi Alba,29,87,87,250K,2230,Left,3,3,3,LB,5'7,150lbs,77.9M
D. Mertens,31,87,87,135K,2043,Right,3,4,4,RF,5'7,134lbs,76.5M
J. Vertonghen,31,87,87,155K,2079,Left,3,3,3,LCB,6'2,190lbs,62.9M
M. Hamšík,30,87,87,125K,2188,Right,3,5,3,LCM,6'0,174lbs,79.1M
I. Rakitić,30,87,87,260K,2184,Right,4,3,3,RCM,6'0,172lbs,95.3M
Piqué,31,87,87,240K,1950,Right,4,3,2,RCB,6'4,187lbs,69.7M
L. Sané,22,86,92,195K,2090,Left,2,3,4,LW,6'0,165lbs,125.1M
Bernardo Silva,23,86,91,180K,2039,Left,2,3,4,RW,5'8,141lbs,114.5M
Ederson,24,86,90,125K,1463,Left,2,3,1,GK,6'2,190lbs,79.9M
S. Mané,26,86,87,195K,2110,Right,3,4,4,LM,5'9,152lbs,102.7M
V. van Dijk,26,86,88,165K,2046,Right,3,3,2,LCB,6'4,203lbs,87.9M
R. Sterling,23,86,89,195K,2036,Right,3,3,4,RW,5'7,152lbs,108.8M
Roberto Firmino,26,86,87,195K,2187,Right,3,4,4,CAM,5'11,168lbs,104.7M
R. Varane,25,86,91,210K,1895,Right,3,3,2,RCB,6'3,179lbs,106.3M
M. Verratti,25,86,89,135K,2149,Right,3,4,4,LCM,5'5,132lbs,105.9M
Alex Sandro,27,86,86,160K,2198,Left,3,3,3,LB,5'11,176lbs,60.2M
Douglas Costa,27,86,86,175K,2111,Left,3,3,5,LM,5'8,154lbs,76.7M
T. Müller,28,86,86,135K,2097,Right,4,4,3,CAM,6'1,165lbs,74.3M
Thiago,27,86,86,130K,2190,Right,3,3,5,CM,5'9,154lbs,75.1M
M. Reus,29,86,86,100K,2172,Right,4,4,4,LM,5'11,157lbs,74M
Azpilicueta,28,86,86,175K,2114,Right,3,3,2,RB,5'10,168lbs,64.8M
L. Bonucci,31,86,86,160K,1978,Right,3,3,2,RCB,6'3,187lbs,49.5M
T. Alderweireld,29,86,87,150K,2047,Right,3,3,2,RCB,6'1,179lbs,75.1M
M. Pjanić,28,86,86,180K,2182,Right,3,4,3,CDM,5'10,159lbs,72.6M
M. Benatia,31,86,86,160K,1803,Right,3,3,2,CB,6'2,207lbs,49.5M
M. Özil,29,86,86,190K,1911,Left,4,2,4,CAM,5'11,168lbs,82.7M
Fernandinho,33,86,86,185K,2183,Right,3,4,3,CDM,5'10,148lbs,33.3M
Iniesta,34,86,86,21K,2058,Right,4,4,4,LF,5'7,150lbs,26.9M
M. Škriniar,23,85,92,82K,1800,Right,1,4,2,LCB,6'2,176lbs,88.4M
S. Milinković-Savić,23,85,90,73K,2206,Right,2,4,4,CM,6'3,168lbs,89.6M
Marco Asensio,22,85,92,215K,2050,Left,3,3,4,RW,6'0,168lbs,121.5M
N. Fekir,24,85,89,92K,2102,Left,3,3,4,CAM,5'8,165lbs,98.8M
Alisson,25,85,90,115K,1320,Right,3,3,1,GK,6'3,201lbs,72.1M
J. Kimmich,23,85,88,92K,2185,Right,3,4,3,RCM,5'9,154lbs,69.9M
Saúl,23,85,90,77K,2196,Left,3,4,3,RCM,6'0,170lbs,107.3M
R. Mahrez,27,85,85,205K,2031,Left,3,4,5,RW,5'10,148lbs,74.9M
D. Alaba,26,85,87,110K,2261,Left,4,4,3,LB,5'11,168lbs,65.6M
Koke,26,85,86,88K,2175,Right,3,4,3,LM,5'9,163lbs,95.6M
A. Lacazette,27,85,86,180K,2060,Right,3,4,4,ST,5'9,161lbs,88.9M
K. Manolas,27,85,87,96K,1642,Right,3,2,2,LCB,6'2,183lbs,66.6M
N. Otamendi,30,85,85,170K,1916,Right,3,3,2,CB,6'0,179lbs,52.7M
Parejo,29,85,85,66K,2119,Right,2,4,3,RCM,6'0,163lbs,77.7M
Paulinho,29,85,85,235K,2245,Right,3,3,3,LDM,6'0,157lbs,
W. Szczęsny,28,85,87,125K,1270,Right,3,3,1,GK,6'5,198lbs,55.2M
A. Sánchez,29,85,85,215K,2172,Right,4,3,4,RW,5'7,163lbs,69.4M
Y. Brahimi,28,85,85,28K,2030,Right,3,3,4,LM,5'9,146lbs,78M
J. Boateng,29,85,85,115K,1948,Right,4,4,2,RCB,6'4,198lbs,49.5M
A. Vidal,31,85,85,205K,2230,Right,4,4,3,CAM,5'11,165lbs,53.3M
I. Perišić,29,85,85,110K,2199,Right,3,5,4,LM,6'1,176lbs,63.8M
E. Džeko,32,85,85,115K,1931,Right,3,5,2,ST,6'4,185lbs,51.9M
S. Khedira,31,85,85,160K,2154,Right,3,4,2,RCM,6'2,198lbs,54.5M
Diego Costa,29,85,85,100K,2003,Right,4,4,2,LS,6'2,190lbs,78.9M
R. Nainggolan,30,85,85,105K,2278,Right,3,3,3,CAM,5'9,170lbs,60.4M
Naldo,35,85,85,38K,1959,Right,3,4,2,CB,6'6,201lbs,15.3M
B. Matuidi,31,85,85,145K,2196,Left,3,2,2,LM,5'11,165lbs,42.9M
Miranda,33,85,85,96K,1879,Right,3,3,2,CB,6'1,172lbs,26.4M
K. Benzema,30,85,85,240K,2000,Right,4,4,4,ST,6'1,179lbs,75.9M
Filipe Luís,32,85,85,81K,2145,Left,3,3,3,LB,6'0,163lbs,44.1M
V. Kompany,32,85,85,170K,1898,Right,4,3,2,CB,6'3,187lbs,40.7M
Pepe,35,85,85,57K,1832,Right,4,3,2,RCB,6'2,179lbs,17.1M
Z. Ibrahimović,36,85,85,15K,2012,Right,5,4,5,RS,6'5,209lbs,21M
D. Sánchez,22,84,88,105K,1809,Right,2,3,2,RCB,6'2,174lbs,65.5M
J. Giménez,23,84,88,63K,1758,Right,2,3,2,RCB,6'1,176lbs,72.3M
Alex Telles,25,84,87,22K,2259,Left,3,2,3,LB,5'11,157lbs,66.4M
A. Laporte,24,84,88,135K,1912,Left,2,3,2,LCB,6'2,187lbs,65.5M
Bruno Fernandes,23,84,88,22K,2223,Right,2,3,4,LCM,5'10,152lbs,84M
N. Süle,22,84,90,84K,1648,Right,2,3,2,CB,6'5,214lbs,67.5M
A. Martial,22,84,90,165K,2064,Right,3,3,4,LW,6'0,168lbs,87.1M
D. Alli,22,84,90,115K,2189,Right,3,3,4,LCM,6'2,176lbs,87.1M
Fabinho,24,84,88,120K,2164,Right,3,2,3,CDM,6'2,172lbs,67.2M
Marquinhos,24,84,89,90K,1879,Right,3,3,2,LDM,6'0,165lbs,68.3M
William Carvalho,26,84,86,38K,1985,Right,3,4,3,CDM,6'2,183lbs,68.5M
Jorginho,26,84,87,155K,2136,Right,2,3,3,CM,5'11,148lbs,73.2M
F. Thauvin,25,84,87,72K,2091,Left,2,3,4,RM,5'10,154lbs,77M
Carvajal,26,84,87,185K,2040,Right,3,3,3,RB,5'8,161lbs,66.9M
M. Depay,24,84,89,93K,2083,Right,3,3,5,ST,5'9,172lbs,83M
H. Son,25,84,85,125K,2079,Right,3,5,4,LM,6'0,143lbs,71.2M
A. Lopes,27,84,86,72K,1355,Left,2,2,1,GK,6'0,179lbs,49.4M
S. de Vrij,26,84,86,88K,1808,Right,3,4,2,CB,6'2,172lbs,55.9M
M. Perin,25,84,89,105K,1254,Right,2,3,1,GK,6'2,170lbs,50.9M
J. Cuadrado,30,84,84,150K,2163,Right,3,3,5,RAM,5'10,159lbs,48.7M
Iago Aspas,30,84,84,45K,2057,Left,2,3,3,ST,5'9,148lbs,63M
B. Leno,26,84,87,115K,1278,Right,3,4,1,GK,6'3,183lbs,53.3M
